Month,Index,Price,
01/02/1994,117.20,443.7,
01/03/1994,119.60,452.8,
01/04/1994,122.10,462.3,
01/05/1994,124.30,470.6,
01/06/1994,127.10,481.2,
01/07/1994,129.30,489.5,
01/08/1994,131.20,496.7,
01/09/1994,132.50,501.7,
01/10/1994,133.50,505.4,
01/11/1994,135.30,512.3, 
01/12/1994,136.90,518.3,
01/01/1995,138.90,525.9,
01/02/1995,140.30,531.2,
01/03/1995,140.70,532.7,
01/04/1995,141.50,535.7,
01/05/1995,142.70,540.3,
01/06/1995,144.40,546.7,
01/07/1995,145.50,550.9,
01/08/1995,148.70,563.0,
01/09/1995,151.80,574.7,
01/10/1995,151.90,575.1,
01/11/1995,153.50,581.2,
01/12/1995,157.90,597.8,
01/01/1996,162.70,616.0,
01/02/1996,164.70,623.6,
01/03/1996,164.70,623.6,
01/04/1996,167.00,632.3,
01/05/1996,171.80,650.5,
01/06/1996,175.30,663.7,
01/07/1996,174.60,661.1,
01/08/1996,171.60,649.7,
01/09/1996,170.80,646.7,
01/10/1996,173.50,656.9,
01/11/1996,176.40,667.9,
01/12/1996,177.10,670.5,
01/01/1997,178.40,675.4,
01/02/1997,181.80,688.3,
01/03/1997,183.00,692.9,
01/04/1997,183.20,693.6,
01/05/1997,185.10,700.8,
01/06/1997,187.40,709.5,
01/07/1997,190.80,722.4,
01/08/1997,192.40,728.5,
01/09/1997,191.50,725.0,
01/10/1997,190.30,720.5,
01/11/1997,189.50,717.5,
01/12/1997,189.70,718.2,
01/01/1998,190.90,722.8,
01/02/1998,191.10,723.5,
01/03/1998,190.10,719.7,
01/04/1998,191.60,725.4,
01/05/1998,193.50,732.6,
01/06/1998,193.40,732.2,
01/07/1998,190.10,719.7,
01/08/1998,188.10,712.2,
01/09/1998,191.00,723.1,
01/10/1998,198.30,750.8,
01/11/1998,204.40,773.9,
01/12/1998,204.40,773.9,
01/01/1999,204.30,773.5,
01/02/1999,204.60,774.6,
01/03/1999,203.30,769.7,
01/04/1999,201.70,763.7,
01/05/1999,203.00,768.6,
01/06/1999,202.40,766.3,
01/07/1999,200.10,757.6,
01/08/1999,202.70,767.4,
01/09/1999,206.10,780.3,
01/10/1999,204.00,772.4,
01/11/1999,204.20,773.1,
01/12/1999,205.60,778.4,
01/01/2000,200.50,759.1,
01/02/2000,195.80,741.3,
01/03/2000,193.80,733.8,
01/04/2000,194.20,735.3,
01/05/2000,197.30,747.0,
01/06/2000,197.90,749.3,
01/07/2000,195.20,739.1,
01/08/2000,194.10,734.9,
01/09/2000,192.60,729.2,
01/10/2000,191.20,723.9,
01/11/2000,192.10,727.3,
01/12/2000,188.80,714.8,
01/01/2001,188.00,711.8,
01/02/2001,188.60,714.1,
01/03/2001,188.40,713.3,
01/04/2001,187.20,708.8,
01/05/2001,185.60,702.7,
01/06/2001,185.70,703.1,
01/07/2001,185.70,703.1,
01/08/2001,186.00,704.2,
01/09/2001,187.20,708.8,
01/10/2001,187.30,709.1,
01/11/2001,185.60,702.7,
01/12/2001,184.50,698.5,
01/01/2002,188.30,712.9,
01/02/2002,194.10,734.9,
01/03/2002,196.60,744.4,
01/04/2002,197.60,748.1,
01/05/2002,199.80,756.5,
01/06/2002,201.60,763.3,
01/07/2002,198.80,752.7,
01/08/2002,196.40,743.6,
01/09/2002,196.60,744.4,
01/10/2002,196.30,743.2,
01/11/2002,194.60,736.8,
01/12/2002,192.70,729.6,
01/01/2003,193.00,730.7,
01/02/2003,193.60,733.0,
01/03/2003,192.70,729.6,
01/04/2003,188.20,712.5,
01/05/2003,184.80,699.7,
01/06/2003,183.80,695.9,
01/07/2003,181.80,688.3,
01/08/2003,183.40,694.4,
01/09/2003,185.90,703.8,
01/10/2003,183.70,695.5,
01/11/2003,182.80,692.1,
01/12/2003,182.60,691.3,
01/01/2004,181.20,686.0,
01/02/2004,182.00,689.1,
01/03/2004,183.70,695.5,
01/04/2004,184.90,700.1,
01/05/2004,186.60,706.5,
01/06/2004,187.60,710.3,
01/07/2004,186.60,706.5,
01/08/2004,187.20,708.8,
01/09/2004,185.70,703.1,
01/10/2004,182.40,690.6,
01/11/2004,182.00,689.1,
01/12/2004,180.40,683.0,
01/01/2005,178.80,677.0,
01/02/2005,178.60,676.2,
01/03/2005,179.50,679.6,
01/04/2005,182.20,689.8,
01/05/2005,182.50,691.0,
01/06/2005,183.10,693.2,
01/07/2005,185.60,702.7,
01/08/2005,185.70,703.1,
01/09/2005,185.40,701.9,
01/10/2005,187.10,708.4,
01/11/2005,189.00,715.6,
01/12/2005,187.30,709.1,
01/01/2006,186.70,706.9,
01/02/2006,188.20,712.5,
01/03/2006,189.20,716.3,
01/04/2006,190.10,719.7,
01/05/2006,187.20,708.8,
01/06/2006,185.40,701.9,
01/07/2006,185.40,701.9,
01/08/2006,186.20,705.0,
01/09/2006,186.50,706.1,
01/10/2006,183.40,694.4,
01/11/2006,182.40,690.6,
01/12/2006,180.20,682.3,
01/01/2007,178.60,676.2,
01/02/2007,179.70,680.4,
01/03/2007,179.70,680.4,
01/04/2007,178.50,675.8,
01/05/2007,177.30,671.3,
01/06/2007,180.10,681.9,
01/07/2007,184.50,698.5,
01/08/2007,187.40,709.5,
01/09/2007,186.30,705.4,
01/10/2007,184.10,697.0,
01/11/2007,183.10,693.2,
01/12/2007,183.30,694.0,
01/01/2008,184.30,697.8,
01/02/2008,185.30,701.6,
01/03/2008,187.60,710.3,
01/04/2008,189.60,717.8,
01/05/2008,190.00,719.4,
01/06/2008,191.40,724.7,
01/07/2008,195.50,740.2,
01/08/2008,199.30,754.6,
01/09/2008,201.70,763.7,
01/10/2008,203.60,770.9,
01/11/2008,203.40,770.1,
01/12/2008,202.80,767.8,
01/01/2009,203.80,771.6,
01/02/2009,204.30,773.5,
01/03/2009,207.10,784.1,
01/04/2009,209.90,794.7,
01/05/2009,212.50,804.6,
01/06/2009,215.50,815.9,
01/07/2009,220.60,835.2,
01/08/2009,225.30,853.0,
01/09/2009,228.10,863.6,
01/10/2009,231.90,878.0,
01/11/2009,237.10,897.7,
01/12/2009,239.70,907.5,
01/01/2010,244.30,925.0,
01/02/2010,247.10,935.6,
01/03/2010,250.50,948.4,
01/04/2010,251.10,950.7,
01/05/2010,254.60,963.9,
01/06/2010,259.50,982.5,
01/07/2010,260.30,985.5,
01/08/2010,263.70,998.4,
01/09/2010,267.20,1011.7,
01/10/2010,268.10,1015.1,
01/11/2010,271.20,1026.8,
01/12/2010,275.30,1042.3,
01/01/2011,278.70,1055.2,
01/02/2011,282.00,1067.7,
01/03/2011,284.70,1077.9,
01/04/2011,288.30,1091.5,
01/05/2011,290.00,1098.0,
01/06/2011,291.60,1104.0,
01/07/2011,293.80,1112.4,
01/08/2011,294.40,1114.6,
01/09/2011,293.40,1110.8,
01/10/2011,290.70,1100.6,
01/11/2011,289.60,1096.5,
01/12/2011,290.10,1098.4,
01/01/2012,289.80,1097.2,
01/02/2012,290.10,1098.4,
01/03/2012,290.50,1099.9,
01/04/2012,293.40,1110.8,
01/05/2012,294.60,1115.4,
01/06/2012,294.40,1114.6,
01/07/2012,296.20,1121.5,
01/08/2012,298.30,1129.4,
01/09/2012,300.40,1137.4,
01/10/2012,302.60,1145.7,
01/11/2012,305.80,1157.8,
01/12/2012,309.70,1172.6,
01/01/2013,315.00,1192.6,
01/02/2013,319.00,1207.8,
01/03/2013,319.70,1210.4,
01/04/2013,320.00,1211.6,
01/05/2013,319.50,1209.7,
01/06/2013,322.60,1221.4,
01/07/2013,326.30,1235.4,
01/08/2013,328.40,1243.4,
01/09/2013,330.00,1249.4,
01/10/2013,328.50,1243.7,
01/11/2013,329.90,1249.0,
01/12/2013,334.90,1268.0,
01/01/2014,338.10,1280.1,
01/02/2014,341.50,1293.0,
01/03/2014,343.60,1300.9,
01/04/2014,346.60,1312.3,
01/05/2014,348.10,1317.9,
01/06/2014,347.60,1316.1,
01/07/2014,347.80,1316.8,
01/08/2014,345.40,1307.7,
01/09/2014,345.20,1307.0,
01/10/2014,347.90,1317.2,
01/11/2014,349.30,1322.5,
01/12/2014,350.30,1326.3,
01/01/2015,352.50,1334.6,
01/02/2015,354.80,1343.3,
01/03/2015,358.30,1356.6,
01/04/2015,360.60,1365.3,
01/05/2015,361.50,1368.7,
01/06/2015,364.50,1380.0,
01/07/2015,368.30,1394.4,
01/08/2015,369.20,1397.8,
01/09/2015,369.00,1397.1,
01/10/2015,371.30,1405.8,
01/11/2015,374.40,1417.5,
01/12/2015,377.50,1429.3,
01/01/2016,380.40,1440.2,
01/02/2016,381.40,1444.0,
01/03/2016,384.00,1453.9,
01/04/2016,389.10,1473.2,
01/05/2016,390.20,1477.3,
01/06/2016,391.10,1480.8,
01/07/2016,393.40,1489.5,
01/08/2016,396.10,1499.7,
01/09/2016,399.90,1514.1,
01/10/2016,404.20,1530.4,
01/11/2016,404.40,1531.1,
01/12/2016,402.80,1525.1,
01/01/2017,402.10,1522.4,
01/02/2017,402.80,1525.1,
01/03/2017,404.90,1533.0,
01/04/2017,406.80,1540.2,
01/05/2017,407.70,1543.6,
01/06/2017,409.50,1550.4,
01/07/2017,412.80,1562.9,
01/08/2017,414.30,1568.6,
01/09/2017,415.90,1574.6,
01/10/2017,414.60,1569.7,
01/11/2017,414.50,1569.3,
01/12/2017,411.90,1559.5,
01/01/2018,407.80,1544.0,
01/02/2018,406.30,1538.3,
01/03/2018,405.90,1536.8,
01/04/2018,406.50,1539.1,
01/05/2018,406.20,1537.9,
01/06/2018,409.20,1549.3,
01/07/2018,410.50,1554.2,
01/08/2018,408.10,1545.1,
01/09/2018,407.40,1542.5,
01/10/2018,406.60,1539.4,
01/11/2018,405.80,1536.4,
01/12/2018,405.50,1535.3,
01/01/2019,404.70,1532.2,
01/02/2019,408.30,1545.9,
01/03/2019,409.60,1550.8,
01/04/2019,410.80,1555.3,
01/05/2019,412.90,1563.3,
01/06/2019,414.10,1567.8,
01/07/2019,413.70,1566.3,
01/08/2019,414.90,1570.9,
01/09/2019,414.50,1569.3,
01/10/2019,416.60,1577.3,
01/11/2019,418.70,1585.3,
01/12/2019,419.10,1586.8,
01/01/2020,421.60,1596.2,
01/02/2020,423.70,1604.2,
01/03/2020,424.10,1605.7,
01/04/2020,423.70,1604.2,
01/05/2020,420.70,1592.8,
01/06/2020,422.00,1597.7,
01/07/2020,426.20,1613.6,
01/08/2020,426.20,1613.6,
01/09/2020,426.60,1615.2,
01/10/2020,427.90,1620.1,
01/11/2020,431.80,1634.8,
01/12/2020,435.70,1649.6,
01/01/2021,438.30,1659.5,
01/02/2021,439.20,1662.9,
01/03/2021,442.70,1676.1,
01/04/2021,448.50,1698.1,
01/05/2021,452.10,1711.7,
01/06/2021,454.40,1720.4,
01/07/2021,459.90,1741.2,
01/08/2021,465.40,1762.1,
01/09/2021,467.30,1769.3,
01/10/2021,471.00,1783.3,
01/11/2021,477.60,1808.3,
01/12/2021,485.70,1838.9,
01/01/2022,496.90,1881.3,
01/02/2022,505.80,1915.0,
01/03/2022,511.90,1938.1,
01/04/2022,517.00,1957.4,
01/05/2022,525.30,1988.9,
01/06/2022,536.30,2030.5,
01/07/2022,543.80,2058.9,
01/08/2022,553.60,2096.0,
01/09/2022,559.70,2119.1,
01/10/2022,565.30,2140.3,
01/11/2022,567.00,2146.7,
01/12/2022,567.60,2149.0,
01/01/2023,568.70,2153.2,
01/02/2023,568.70,2153.2,
01/03/2023,568.70,2153.2,
01/04/2023,567.60,2149.0,
01/05/2023,564.80,2138.4,
01/06/2023,561.40,2125.5,
01/07/2023,560.30,2121.4,
01/08/2023,559.20,2117.2,
01/09/2023,558.60,2114.9,
01/10/2023,557.50,2110.8,
01/11/2023,554.70,2100.2,
01/12/2023,558.00,2112.7,
01/01/2024,563.00,2131.6,
01/02/2024,569.20,2155.1,
01/03/2024,574.90,2176.6,
01/04/2024,579.50,2194.1,
01/05/2024,583.60,2209.6,
01/06/2024,587.10,2222.8,
01/07/2024,591.80,2240.6,
01/08/2024,593.00,2245.2,
01/09/2024,592.40,2242.9,